Index,Kanji,Reading,Definition,Frequency,Dispersion,Core 6K Position,Jisho Link
340,きれい,きれい,"beautiful, pretty; clean",212,0.84,N/A,http://jisho.org/search/きれい
341,立つ,たつ,stand,212,0.97,256,http://jisho.org/search/立つ
342,毎日,まいにち,every day,212,0.85,487,http://jisho.org/search/毎日
343,ために,ために,for,211,0.82,N/A,http://jisho.org/search/ために
344,おいしい,おいしい,"delicious, tasty",210,0.75,389,http://jisho.org/search/おいしい
345,または,または,or,210,0.75,N/A,http://jisho.org/search/または
346,家族,かぞく,family,209,0.93,1129,http://jisho.org/search/家族
347,に対する,にたいする,to; for; against,208,0.72,N/A,http://jisho.org/search/に対する
348,部分,ぶぶん,"part, section",207,0.98,663,http://jisho.org/search/部分
349,一度,いちど,once,207,0.95,N/A,http://jisho.org/search/一度
350,結果,けっか,result,205,0.96,1142,http://jisho.org/search/結果
351,じゃ,じゃ,"well, so, then",204,0.71,N/A,http://jisho.org/search/じゃ
352,状況,じょうきょう,"state of affairs, situation",203,0.87,1299,http://jisho.org/search/状況
353,時代,じだい,"time, era",202,0.95,954,http://jisho.org/search/時代
354,少ない,すくない,"a little, a few",201,1,74,http://jisho.org/search/少ない
355,他,ほか,"another, other",201,0.83,634,http://jisho.org/search/他
356,うまい,うまい,"delicious, tasty; good at",200,0.92,640,http://jisho.org/search/うまい
357,覚える,おぼえる,"learn, remember, memorize",200,0.84,158,http://jisho.org/search/覚える
358,東京,とうきょう,Tokyo,200,0.95,N/A,http://jisho.org/search/東京
359,てある,てある,[describes a state resulting from someone’s action],200,0.96,N/A,http://jisho.org/search/てある
360,続く,つづく,"continue, go on, last",198,1,324,http://jisho.org/search/続く
361,における,における,in,197,0.47,N/A,http://jisho.org/search/における
362,俺,おれ,I (used by male speakers),196,0.81,3803,http://jisho.org/search/俺
363,生まれる,うまれる,be born,196,0.95,824,http://jisho.org/search/生まれる
364,父,ちち,father,194,0.83,292,http://jisho.org/search/父
365,確か,たしか,"sure, certain, reliable",194,0.97,1218,http://jisho.org/search/確か
366,それぞれ,それぞれ,each,193,0.9,4061,http://jisho.org/search/それぞれ
367,方法,ほうほう,"way, method",192,0.97,887,http://jisho.org/search/方法
368,はず,はず,"ought to, should",191,0.89,N/A,http://jisho.org/search/はず
369,説明,せつめい,explanation,191,0.98,1237,http://jisho.org/search/説明
370,なければいけない,なければいけない,"must, have to, need to",191,0,N/A,http://jisho.org/search/なければいけない
371,部屋,へや,room,190,0.88,184,http://jisho.org/search/部屋
372,ちょうど,ちょうど,"just, exactly",190,0.74,1875,http://jisho.org/search/ちょうど
373,当然,とうぜん,"naturally, as a matter of course",189,0.94,884,http://jisho.org/search/当然
374,大学,だいがく,"university, college",189,0.88,231,http://jisho.org/search/大学
375,ですから,ですから,"so, therefore",188,0.68,N/A,http://jisho.org/search/ですから
376,実,じつ,"truth, true, real",187,0.77,4669,http://jisho.org/search/実
377,朝,あさ,morning,187,0.83,137,http://jisho.org/search/朝
378,どんどん,どんどん,"rapidly, fast, soon",186,0.75,4181,http://jisho.org/search/どんどん
379,得る,"える,うる","get, obtain",186,0.92,3438,http://jisho.org/search/得る
380,とにかく,とにかく,"anyway, regardless",186,0.83,4307,http://jisho.org/search/とにかく
381,選ぶ,えらぶ,"choose, select",186,0.94,1311,http://jisho.org/search/選ぶ
382,面白い,おもしろい,interesting; fun; funny,186,0.84,1071,http://jisho.org/search/面白い
383,戻る,もどる,"return, go back",185,0.9,348,http://jisho.org/search/戻る
384,勉強,べんきょう,study,185,0.8,237,http://jisho.org/search/勉強
385,やめる,やめる,"stop, give up",183,0.91,N/A,http://jisho.org/search/やめる
386,下,した,under; below; down; low,183,0.99,4050,http://jisho.org/search/下
387,始める,はじめる,"start, begin",182,0.96,265,http://jisho.org/search/始める
388,まわり,まわり,"circumference; surroundings, neighborhood, around",182,0.85,N/A,http://jisho.org/search/まわり
389,犬,いぬ,dog,182,0.79,1737,http://jisho.org/search/犬
390,必ず,かならず,"always, certainly, surely",181,0.92,909,http://jisho.org/search/必ず
391,残す,のこす,leave,180,0.91,926,http://jisho.org/search/残す
392,大事,だいじ,"important, serious",180,0.9,613,http://jisho.org/search/大事
393,嬉しい,うれしい,"glad, happy",180,0.83,397,http://jisho.org/search/嬉しい
394,力,ちから,"power, strength",180,0.98,466,http://jisho.org/search/力
395,遊ぶ,あそぶ,play,179,0.85,288,http://jisho.org/search/遊ぶ
396,若い,わかい,young,179,0.92,305,http://jisho.org/search/若い
397,理由,りゆう,reason,179,0.99,1153,http://jisho.org/search/理由
398,女,おんな,"woman, female",179,0.82,107,http://jisho.org/search/女
399,簡単,かんたん,easy,178,0.96,868,http://jisho.org/search/簡単
400,始まる,はじまる,"start, begin",178,0.97,266,http://jisho.org/search/始まる
401,死ぬ,しぬ,die,176,0.86,316,http://jisho.org/search/死ぬ
402,今回,こんかい,this time,176,0.92,874,http://jisho.org/search/今回
403,に関する,にかんする,"be concerned with, be related to",175,0.55,N/A,http://jisho.org/search/に関する
404,人生,じんせい,life,175,0.84,2344,http://jisho.org/search/人生
405,通り,とおり,street; as,174,0.88,623,http://jisho.org/search/通り
406,内容,ないよう,contents,174,0.89,1692,http://jisho.org/search/内容
407,テレビ,てれび,"television, TV",174,0.87,460,http://jisho.org/search/テレビ
408,経験,けいけん,experience,173,0.95,891,http://jisho.org/search/経験
409,木,き,wood; tree,173,0.77,408,http://jisho.org/search/木
410,点,てん,"point, score",172,0.77,4499,http://jisho.org/search/点
411,自然,しぜん,nature,172,0.96,1151,http://jisho.org/search/自然
412,音,おと,"sound, noise",171,0.93,4686,http://jisho.org/search/音
413,海,うみ,"sea, ocean",171,0.91,486,http://jisho.org/search/海
414,一応,いちおう,"at first glance; at least, just",170,0.68,2743,http://jisho.org/search/一応
415,与える,あたえる,"give, present",170,0.95,1649,http://jisho.org/search/与える
416,利用,りよう,"use, utilization",169,0.93,903,http://jisho.org/search/利用
417,働く,はたらく,work,169,0.98,261,http://jisho.org/search/働く
418,一杯,いっぱい,"cup(ful), glass(ful), be full of, a lot of",169,0.75,320,http://jisho.org/search/一杯
419,近く,ちかく,"near, nearby",169,0.84,174,http://jisho.org/search/近く
420,つまり,つまり,"in short, that is to say, after all",169,0.92,530,http://jisho.org/search/つまり
421,共,とも,"with, together",169,0.93,N/A,http://jisho.org/search/共
422,存在,そんざい,existence,169,0.93,1209,http://jisho.org/search/存在
423,絶対,ぜったい,"absolute, absolutely, whatever",168,0.89,3620,http://jisho.org/search/絶対
424,日本人,"にほんじん,にっぽんじん",Japanese (person),168,0.91,N/A,http://jisho.org/search/日本人
425,大切,たいせつ,important,168,0.96,949,http://jisho.org/search/大切
426,足,あし,foot; leg,167,0.91,104,http://jisho.org/search/足
427,切る,きる,cut,167,0.94,252,http://jisho.org/search/切る
428,走る,はしる,run,167,0.93,171,http://jisho.org/search/走る
429,待つ,まつ,wait,167,0.93,225,http://jisho.org/search/待つ
430,写真,しゃしん,"picture, photo",163,0.88,1074,http://jisho.org/search/写真
431,子供たち,こどもたち,children,162,0.91,N/A,http://jisho.org/search/子供たち
432,だんだん,だんだん,"gradually, more and more, less and less",161,0.61,N/A,http://jisho.org/search/だんだん
433,二つ,ふたつ,two,161,0.97,4,http://jisho.org/search/二つ
434,楽しむ,たのしむ,"enjoy, have a good time",161,0.85,272,http://jisho.org/search/楽しむ
435,五,ご,five,160,0.84,12,http://jisho.org/search/五
436,多く,おおく,"many, most",160,0.94,438,http://jisho.org/search/多く
437,寝る,ねる,"sleep; lie down, go to bed",159,0.81,354,http://jisho.org/search/寝る
438,英語,えいご,English language,159,0.77,591,http://jisho.org/search/英語
439,決める,きめる,"decide, fix",159,1,212,http://jisho.org/search/決める
440,忘れる,わすれる,forget,159,0.9,210,http://jisho.org/search/忘れる
441,口,くち,mouth,158,0.86,100,http://jisho.org/search/口
442,送る,おくる,send; spend (time),157,0.93,223,http://jisho.org/search/送る
443,姿,すがた,"figure, shape, appearance",157,0.93,1773,http://jisho.org/search/姿
444,なくなる,なくなる,disappear; be gone,157,0.94,N/A,http://jisho.org/search/なくなる
445,時期,じき,"time, period, season",156,0.98,937,http://jisho.org/search/時期
446,逆,ぎゃく,"contrary, opposite",156,0.95,3287,http://jisho.org/search/逆
447,頑張る,がんばる,do one’s best,156,0.77,1898,http://jisho.org/search/頑張る
448,示す,しめす,show,155,0.76,1282,http://jisho.org/search/示す
449,こそ,こそ,EMPHATIC,155,0.95,N/A,http://jisho.org/search/こそ
450,人々,ひとびと,people,155,0.9,458,http://jisho.org/search/人々
451,道,みち,"way, road",155,0.95,166,http://jisho.org/search/道
452,有名,ゆうめい,"famous, well-known",155,0.77,784,http://jisho.org/search/有名
453,てもいい,てもいい,(I) don’t mind if,154,0.9,N/A,http://jisho.org/search/てもいい
454,思い,おもい,"thought, mind, heart",154,0.94,2273,http://jisho.org/search/思い
455,しかも,しかも,"moreover, besides",154,0.98,N/A,http://jisho.org/search/しかも
456,難しい,"むずかしい,むつかしい","difficult, hard",153,0.99,243,http://jisho.org/search/難しい
457,彼ら,かれら,they,153,0.79,1139,http://jisho.org/search/彼ら
458,山,やま,mountain,153,0.92,478,http://jisho.org/search/山
459,程度,ていど,"degree, grade, level, limit",152,0.97,1599,http://jisho.org/search/程度
460,でない,でない,COPULA (NEGATIVE),152,0.97,N/A,http://jisho.org/search/でない
461,願う,ねがう,"wish, ask, pray",152,0.82,1263,http://jisho.org/search/願う
462,すでに,すでに,"already, before",151,0.95,N/A,http://jisho.org/search/すでに
463,昭和,しょうわ,Showa era,151,0.55,1948,http://jisho.org/search/昭和
464,向かう,むかう,"face; go (toward, in the direction of )",151,0.93,534,http://jisho.org/search/向かう
465,連れる,つれる,"take somebody, accompany",150,0.82,4991,http://jisho.org/search/連れる
466,変える,かえる,change,150,0.99,253,http://jisho.org/search/変える
467,影響,えいきょう,influence,149,0.92,1431,http://jisho.org/search/影響
468,病院,びょういん,"hospital, clinic",149,0.91,1186,http://jisho.org/search/病院
469,年,とし,year; age,149,0.9,57,http://jisho.org/search/年
470,花,はな,flower,149,0.89,496,http://jisho.org/search/花
471,求める,もとめる,"ask for, request, demand",149,0.88,4554,http://jisho.org/search/求める
472,情報,じょうほう,information,148,0.97,751,http://jisho.org/search/情報
473,もらう,もらう,"get, have, receive",148,0.86,179,http://jisho.org/search/もらう
474,友人,ゆうじん,friend,148,0.81,4097,http://jisho.org/search/友人
475,だめ,だめ,"useless, hopeless, impossible",148,0.88,N/A,http://jisho.org/search/だめ
476,経つ,たつ,"pass, go by",148,0.9,892,http://jisho.org/search/経つ
477,先程,さきほど,a short while ago,148,0.68,3354,http://jisho.org/search/先程
478,一回,いっかい,once,147,0.8,N/A,http://jisho.org/search/一回
479,十分,じゅうぶん,"enough, sufficient",147,0.9,411,http://jisho.org/search/十分
480,小さな,ちいさな,"small, little, tiny",147,0.93,N/A,http://jisho.org/search/小さな
481,開く,ひらく,open; bloom; hold,146,0.94,538,http://jisho.org/search/開く
482,無人島,むじんとう,uninhabited island,146,0.07,N/A,http://jisho.org/search/無人島
483,続ける,つづける,"continue, keep up, go on",146,0.99,1286,http://jisho.org/search/続ける
484,重要,じゅうよう,important,145,0.83,912,http://jisho.org/search/重要
485,といった,といった,"like, such as",145,0.95,N/A,http://jisho.org/search/といった
486,当たる,あたる,"hit, bump, touch; guess right, win",144,0.99,881,http://jisho.org/search/当たる
487,近い,ちかい,"near, close",144,0.97,173,http://jisho.org/search/近い
488,結婚,けっこん,marriage,144,0.91,308,http://jisho.org/search/結婚
489,認める,みとめる,"recognize, acknowledge, admit, approve, accept",144,0.84,4920,http://jisho.org/search/認める
490,これら,これら,these,143,0.74,475,http://jisho.org/search/これら
491,歴史,れきし,history,143,0.92,1452,http://jisho.org/search/歴史
492,増える,ふえる,"increase, gain",143,0.99,977,http://jisho.org/search/増える
493,音楽,おんがく,music,142,0.82,1062,http://jisho.org/search/音楽
494,なければならない,なければならない,must,142,0.62,N/A,http://jisho.org/search/なければならない
495,外,そと,outside,142,0.93,462,http://jisho.org/search/外
496,進む,すすむ,"to go forward, make progress",142,0.97,1327,http://jisho.org/search/進む
497,起きる,おきる,get up; wake; happen,141,0.97,353,http://jisho.org/search/起きる
498,嫌,"いや,や","unpleasant, disagreeable",141,0.82,1768,http://jisho.org/search/嫌
499,駅,えき,station,139,0.73,165,http://jisho.org/search/駅
500,いや,いや,No,139,0.92,N/A,http://jisho.org/search/いや
501,はい,はい,yes; all right,139,0.81,N/A,http://jisho.org/search/はい
502,映画,えいが,movie,139,0.86,1069,http://jisho.org/search/映画
503,身,み,"body, oneself; position",139,0.91,5413,http://jisho.org/search/身
504,客,きゃく,"guest, visitor; customer",138,0.91,508,http://jisho.org/search/客
505,質問,しつもん,question,138,0.72,242,http://jisho.org/search/質問
506,含む,ふくむ,"contain, include",138,0.84,5313,http://jisho.org/search/含む
507,地域,ちいき,"region, area",138,0.81,1644,http://jisho.org/search/地域
508,我が,わが,"my, our, one’s",138,0.53,N/A,http://jisho.org/search/我が
509,どうしても,どうしても,"by all means, at any cost, no matter what, after all",138,0.88,4263,http://jisho.org/search/どうしても
510,のに,のに,"although, though; in order to",137,0,N/A,http://jisho.org/search/のに
511,娘,むすめ,daughter,137,0.85,303,http://jisho.org/search/娘
512,見せる,みせる,show,136,0.95,148,http://jisho.org/search/見せる
513,一日,いちにち,"a day, the day, one day",136,0.94,40,http://jisho.org/search/一日
514,今年,ことし,this year,136,0.85,62,http://jisho.org/search/今年
515,平成,へいせい,Heisei era,136,0.59,1257,http://jisho.org/search/平成
516,図,ず,"drawing, figure, diagram",135,0.63,2165,http://jisho.org/search/図
517,紹介,しょうかい,introduction,135,0.92,1609,http://jisho.org/search/紹介
518,合わせる,あわせる,"join, add up; adjust",135,0.94,2137,http://jisho.org/search/合わせる
519,安い,やすい,"low, cheap",134,0.83,130,http://jisho.org/search/安い
520,夢,ゆめ,dream,134,0.91,1629,http://jisho.org/search/夢
521,つらい,つらい,"hard, difficult, painful",133,0.76,N/A,http://jisho.org/search/つらい
522,規定,きてい,"regulations, stipulations",133,0.27,2525,http://jisho.org/search/規定
523,どちら,どちら,where; which; who,133,0.92,229,http://jisho.org/search/どちら
524,中心,ちゅうしん,center,131,0.87,757,http://jisho.org/search/中心
525,起こる,おこる,"happen, occur, take place",131,0.97,351,http://jisho.org/search/起こる
526,我々,われわれ,we,130,0.88,5438,http://jisho.org/search/我々
527,(お)母さん,(お)かあさん,"mother, Mom",130,0.84,N/A,http://jisho.org/search/(お)母さん
528,立てる,たてる,"stand, set up, put up",129,0.97,997,http://jisho.org/search/立てる
529,最も,もっとも,"most, extremely",128,0.87,4130,http://jisho.org/search/最も
530,色,いろ,color,128,0.94,276,http://jisho.org/search/色
531,探す,さがす,"look for, search for, seek",127,0.9,331,http://jisho.org/search/探す
