Index,Kanji,Reading,Definition,Frequency,Dispersion,Core 6K Position,Jisho Link
208,間,あいだ,distance; period,372,0.97,4123,http://jisho.org/search/間
209,感じる,かんじる,feel,368,0.95,330,http://jisho.org/search/感じる
210,しか,しか,"only, just, no more than",366,0.9,N/A,http://jisho.org/search/しか
211,かかる,かかる,hang; take; cost,363,0.93,2853,http://jisho.org/search/かかる
212,大きな,おおきな,"big, large, great",363,0.96,N/A,http://jisho.org/search/大きな
213,住む,すむ,live,362,0.75,216,http://jisho.org/search/住む
214,最近,さいきん,"recently, lately",357,0.92,647,http://jisho.org/search/最近
215,特に,とくに,"especially, particularly",355,0.95,1171,http://jisho.org/search/特に
216,誰,だれ,"who, whose, whom",354,0.93,364,http://jisho.org/search/誰
217,こんな,こんな,"such, like that",349,0.92,N/A,http://jisho.org/search/こんな
218,友達,ともだち,friend,349,0.7,113,http://jisho.org/search/友達
219,大きい,おおきい,"big, large, great",348,0.99,72,http://jisho.org/search/大きい
220,すぐ,すぐ,soon,347,0.91,N/A,http://jisho.org/search/すぐ
221,一緒,いっしょ,"together, with",344,0.9,3206,http://jisho.org/search/一緒
222,生活,せいかつ,life,341,0.92,831,http://jisho.org/search/生活
223,国,くに,country,340,0.74,181,http://jisho.org/search/国
224,あげる,あげる,"raise, lift",340,0.98,109,http://jisho.org/search/あげる
225,"あなた, あんた","あなた,あんた",you,336,0.86,N/A,"http://jisho.org/search/あなた, あんた"
226,現在,げんざい,"present time, now",335,0.97,1029,http://jisho.org/search/現在
227,高い,たかい,"high, tall; expensive",335,0.98,128,http://jisho.org/search/高い
228,なんて,なんて,[expresses belittlement],333,0.85,N/A,http://jisho.org/search/なんて
229,悪い,わるい,bad,329,0.89,207,http://jisho.org/search/悪い
230,気持ち,きもち,feeling,328,0.92,227,http://jisho.org/search/気持ち
231,乗る,のる,"ride, get on, take",326,0.86,254,http://jisho.org/search/乗る
232,において,において,at; in; on,325,0.43,N/A,http://jisho.org/search/において
233,見える,みえる,"see, be seen",324,0.93,151,http://jisho.org/search/見える
234,変わる,かわる,change,323,0.99,969,http://jisho.org/search/変わる
235,べし,べし,"must, should",321,0.88,N/A,http://jisho.org/search/べし
236,あるいは,あるいは,"or; perhaps, probably, maybe",319,0.72,N/A,http://jisho.org/search/あるいは
237,大変,たいへん,"serious, terrible; hard, difficult",318,0.91,971,http://jisho.org/search/大変
238,による,による,"be due to, be based on",317,0.72,N/A,http://jisho.org/search/による
239,会社,かいしゃ,"company, firm",317,0.92,606,http://jisho.org/search/会社
240,ほとんど,ほとんど,"almost, nearly",317,0.95,430,http://jisho.org/search/ほとんど
241,実際,じっさい,"actually, in fact",315,0.95,1246,http://jisho.org/search/実際
242,先生,せんせい,teacher,315,0.89,230,http://jisho.org/search/先生
243,彼女,かのじょ,she; girlfriend,315,0.82,306,http://jisho.org/search/彼女
244,二人,ふたり,two people,315,0.91,456,http://jisho.org/search/二人
245,心,こころ,"mind, heart; thought; feeling",312,0.94,2271,http://jisho.org/search/心
246,あの,あの,"that, those",311,0.91,N/A,http://jisho.org/search/あの
247,らしい,らしい,"seem, look",311,0.82,N/A,http://jisho.org/search/らしい
248,ある,ある,"one, a, some, a certain",310,0.94,N/A,http://jisho.org/search/ある
249,金,かね,money,310,0.93,409,http://jisho.org/search/金
250,顔,かお,face,310,0.83,328,http://jisho.org/search/顔
251,ていただく,ていただく,[receive a favor (humble)],307,0.84,N/A,http://jisho.org/search/ていただく
252,ずっと,ずっと,"all the time, for a long time",304,0.8,585,http://jisho.org/search/ずっと
253,さらに,さらに,"again, still more, moreover",304,0.91,N/A,http://jisho.org/search/さらに
254,"町,街",まち,"town, city",304,0.74,N/A,"http://jisho.org/search/町,街"
255,及び,および,"and, as well as",303,0.42,N/A,http://jisho.org/search/及び
256,たくさん,たくさん,"many, much",301,0.89,1640,http://jisho.org/search/たくさん
257,いー,いー,"good, great",300,0.01,N/A,http://jisho.org/search/いー
258,大体,だいたい,"almost, nearly",298,0.64,4076,http://jisho.org/search/大体
259,もちろん,もちろん,"of course, needless to say",298,0.96,540,http://jisho.org/search/もちろん
260,読む,よむ,read,298,0.93,155,http://jisho.org/search/読む
261,人たち,ひとたち,people,295,0.85,N/A,http://jisho.org/search/人たち
262,今日,きょう,today,295,0.76,2005,http://jisho.org/search/今日
263,昔,むかし,"ancient times, in the past, once",292,0.83,4337,http://jisho.org/search/昔
264,うん,うん,"yes, yeah",291,0.46,N/A,http://jisho.org/search/うん
265,すべて,すべて,"everything, all",290,0.98,N/A,http://jisho.org/search/すべて
266,教える,おしえる,"teach, tell",290,0.65,236,http://jisho.org/search/教える
267,子,こ,child,287,0.9,499,http://jisho.org/search/子
268,ておく,ておく,"do something in advance, in preparation for something",287,0.99,N/A,http://jisho.org/search/ておく
269,に対して,にたいして,"to, toward; for; against",287,0.88,N/A,http://jisho.org/search/に対して
270,ばかり,ばかり,"only, just, almost",286,0.94,N/A,http://jisho.org/search/ばかり
271,なぜ,なぜ,why,283,0.95,555,http://jisho.org/search/なぜ
272,水,みず,water,282,0.97,45,http://jisho.org/search/水
273,当時,とうじ,"then, at that time",282,0.88,882,http://jisho.org/search/当時
274,場所,ばしょ,"place, spot, position",280,0.92,778,http://jisho.org/search/場所
275,置く,おく,"put, place; leave",280,0.99,341,http://jisho.org/search/置く
276,楽しい,たのしい,"pleasant, happy, enjoyable",279,0.82,273,http://jisho.org/search/楽しい
277,にとって,にとって,for,279,0.96,N/A,http://jisho.org/search/にとって
278,声,こえ,voice,275,0.9,1734,http://jisho.org/search/声
279,普通,ふつう,"normal, regular, ordinary, common",275,0.82,1179,http://jisho.org/search/普通
280,残る,のこる,"remain, be left",273,0.91,924,http://jisho.org/search/残る
281,最後,さいご,"last, end",272,0.95,554,http://jisho.org/search/最後
282,車,くるま,car; wheel,271,0.9,621,http://jisho.org/search/車
283,初めて,はじめて,"for the first time, first",271,0.95,548,http://jisho.org/search/初めて
284,今度,こんど,"this time, next time",270,0.86,644,http://jisho.org/search/今度
285,体,からだ,body,266,0.93,97,http://jisho.org/search/体
286,私達,"わたしたち,わたくしたち",we,264,0.92,N/A,http://jisho.org/search/私達
287,強い,つよい,"strong, powerful",264,1,238,http://jisho.org/search/強い
288,全く,まったく,"entirely, completely; (not) at all",263,0.96,659,http://jisho.org/search/全く
289,呼ぶ,よぶ,call,261,0.96,370,http://jisho.org/search/呼ぶ
290,結局,けっきょく,"after all, in the end, finally",259,0.79,2698,http://jisho.org/search/結局
291,歩く,あるく,walk,258,0.87,170,http://jisho.org/search/歩く
292,男,おとこ,"man, male",256,0.83,106,http://jisho.org/search/男
293,女性,じょせい,"woman, female",254,0.97,827,http://jisho.org/search/女性
294,学校,がっこう,school,253,0.93,234,http://jisho.org/search/学校
295,生きる,いきる,live,253,0.91,228,http://jisho.org/search/生きる
296,なかなか,なかなか,"very, quite; (not) easily",251,0.89,4402,http://jisho.org/search/なかなか
297,先,さき,"end, front",250,0.94,61,http://jisho.org/search/先
298,もっと,もっと,more,249,0.96,149,http://jisho.org/search/もっと
299,ことができる,ことができる,"can, be able to",246,0.81,N/A,http://jisho.org/search/ことができる
300,テーマ,てーま,"theme, subject",245,0.66,4351,http://jisho.org/search/テーマ
301,世界,せかい,world,245,0.99,673,http://jisho.org/search/世界
302,状態,じょうたい,"state, conditions",244,0.97,1301,http://jisho.org/search/状態
303,と,と,"well, erm (abbreviation of “eeto”)",243,0.19,N/A,http://jisho.org/search/と
304,もし,もし,"if, in case",242,0.93,565,http://jisho.org/search/もし
305,全然,ぜんぜん,"(not) at all; utterly, completely",241,0.67,886,http://jisho.org/search/全然
306,飲む,のむ,drink,241,0.85,144,http://jisho.org/search/飲む
307,新しい,あたらしい,"new, fresh",240,1,204,http://jisho.org/search/新しい
308,の,の,EMOTION/QUESTION,239,0.8,N/A,http://jisho.org/search/の
309,早い,はやい,"early, soon",236,0.96,262,http://jisho.org/search/早い
310,会う,あう,"meet, see",236,0.9,160,http://jisho.org/search/会う
311,アメリカ,あめりか,America,234,0.96,N/A,http://jisho.org/search/アメリカ
312,あれ,あれ,that,234,0.86,329,http://jisho.org/search/あれ
313,小さい,ちいさい,"small, little, tiny",233,0.92,73,http://jisho.org/search/小さい
314,相手,あいて,companion; partner,232,0.91,1287,http://jisho.org/search/相手
315,母,はは,mother,232,0.84,294,http://jisho.org/search/母
316,以上,いじょう,more than; mentioned above; since,232,0.87,1111,http://jisho.org/search/以上
317,関係,かんけい,"relationship, connection",232,0.96,1298,http://jisho.org/search/関係
318,四,"よん,し",four,231,0.81,10,http://jisho.org/search/四
319,たぶん,たぶん,"probably, perhaps, maybe",228,0.7,N/A,http://jisho.org/search/たぶん
320,店,みせ,"store, shop",228,0.84,194,http://jisho.org/search/店
321,どんな,どんな,"what, what kind of",227,0.94,N/A,http://jisho.org/search/どんな
322,頭,あたま,head,227,0.9,2949,http://jisho.org/search/頭
323,電話,でんわ,"(tele)phone, call",225,0.89,618,http://jisho.org/search/電話
324,長い,ながい,long,224,0.97,176,http://jisho.org/search/長い
325,ことになる,ことになる,"it happens that  .  .  .  , it is decided that",224,0.8,N/A,http://jisho.org/search/ことになる
326,本,ほん,book,223,0.9,95,http://jisho.org/search/本
327,どの,どの,"which, what",222,0.94,N/A,http://jisho.org/search/どの
328,こちら,こちら,"this place, here; this way; this",222,0.82,925,http://jisho.org/search/こちら
329,いわゆる,いわゆる,"what is called, what you call, so-called",222,0.76,N/A,http://jisho.org/search/いわゆる
330,わ,わ,EXCLAMATION,222,0.78,N/A,http://jisho.org/search/わ
331,夜,よる,"night, evening",220,0.88,4152,http://jisho.org/search/夜
332,別,べつ,"separate, different",217,0.96,314,http://jisho.org/search/別
333,者,もの,"person, people",217,0.67,4795,http://jisho.org/search/者
334,タイトル,たいとる,title,217,0.45,N/A,http://jisho.org/search/タイトル
335,親,おや,parent,216,0.9,295,http://jisho.org/search/親
336,名前,なまえ,name,215,0.91,217,http://jisho.org/search/名前
337,全部,ぜんぶ,"all, whole, entire",214,0.85,180,http://jisho.org/search/全部
338,皆さん,みなさん,"everybody, everyone",213,0.87,1617,http://jisho.org/search/皆さん
339,により,により,by; with; depending on,213,0.58,N/A,http://jisho.org/search/により
