Index,Author Name,Romanized Name,Year,Title,Work Link,Kanji Count,Total Characters,Characters Per Sentence
183,倉田 百三,Hyakuzo Kurata,1937,光り合ういのち,http://www.aozora.gr.jp/cards/000256/files/43840_48692.html,2135,100319,29
184,中里 介山,Kaizan Nakazato,1976,大菩薩峠,http://www.aozora.gr.jp/cards/000283/files/3066_14274.html,2134,151663,44
185,宮本 百合子,Yuriko Miyamoto,1981,獄中への手紙,http://www.aozora.gr.jp/cards/000311/files/33193_17924.html,2134,123466,39
186,黒島 伝治,Denji Kuroshima,1978,武装せる市街,http://www.aozora.gr.jp/cards/000037/files/1418_22363.html,2133,96466,26
187,バルザック オノレ・ド,Honoré de Balzac,,ゴリオ爺さん,http://www.aozora.gr.jp/cards/001850/files/57353_57270.html,2131,198443,34
188,夏目 漱石,Soseki Natsume,1915,道草,http://www.aozora.gr.jp/cards/000148/files/783_14967.html,2130,197734,30
189,田山 花袋,Katai Tayama,1966,田舎教師,http://www.aozora.gr.jp/cards/000214/files/1668_26031.html,2130,179644,33
190,正岡 子規,Shiki Masaoka,1902,病牀六尺,http://www.aozora.gr.jp/cards/000305/files/43537_41508.html,2126,104436,47
191,小熊 秀雄,Hideo Oguma,1991,小熊秀雄全集-19,http://www.aozora.gr.jp/cards/000124/files/2421_21876.html,2122,143939,76
192,吉川 英治,Eiji Yoshikawa,1990,私本太平記,http://www.aozora.gr.jp/cards/001562/files/52424_49691.html,2121,136820,29
193,吉川 英治,Eiji Yoshikawa,1990,私本太平記,http://www.aozora.gr.jp/cards/001562/files/52430_49709.html,2121,143361,29
194,徳田 秋声,Shusei Tokuda,1949,あらくれ,http://www.aozora.gr.jp/cards/000023/files/199_44926.html,2119,167463,48
195,国枝 史郎,Shiro Kunieda,1925,名人地獄,http://www.aozora.gr.jp/cards/000255/files/44426_21842.html,2116,136796,26
196,吉川 英治,Eiji Yoshikawa,1990,私本太平記,http://www.aozora.gr.jp/cards/001562/files/52428_49705.html,2113,135488,30
197,林 芙美子,Fumiko Hayashi,1949,浮雲,http://www.aozora.gr.jp/cards/000291/files/52236_58934.html,2112,207321,32
198,岡本 かの子,Kanoko Okamoto,1934,仏教人生読本,http://www.aozora.gr.jp/cards/000076/files/52342_51795.html,2112,107398,44
199,倉田 百三,Hyakuzo Kurata,1950,愛と認識との出発,http://www.aozora.gr.jp/cards/000256/files/2590_20695.html,2111,148724,35
